City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
94,nova sintra,14.8667,-24.7167,79.86,79,88,5.35,CV,Sun Aug  4 21:33:14 2024
95,tiksi,71.6872,128.8694,50.92,88,100,10.22,RU,Sun Aug  4 21:33:15 2024
96,dryden,49.7833,-92.7503,64.69,59,75,4.61,CA,Sun Aug  4 21:33:17 2024
97,katoya,23.65,88.1333,86.47,73,91,7.09,IN,Sun Aug  4 21:33:18 2024
98,nagqu,31.5,92.0,48.87,64,0,3.15,CN,Sun Aug  4 21:33:19 2024
99,carnarvon,-24.8667,113.6333,65.95,42,0,8.66,AU,Sun Aug  4 21:33:21 2024
100,wynyard,-41.0,145.7167,54.19,83,80,3.0,AU,Sun Aug  4 21:33:22 2024
101,rio branco,-9.9747,-67.81,79.41,78,12,2.3,BR,Sun Aug  4 21:31:52 2024
102,alofi,-19.0595,-169.9187,80.49,78,75,10.36,NU,Sun Aug  4 21:33:25 2024
103,nemuro,43.3236,145.575,59.7,100,100,8.08,JP,Sun Aug  4 21:33:27 2024
104,ilulissat,69.2167,-51.1,44.62,76,40,1.14,GL,Sun Aug  4 21:33:28 2024
105,pacasmayo,-7.4006,-79.5714,61.95,89,8,12.15,PE,Sun Aug  4 21:33:30 2024
106,nouadhibou,20.931,-17.0347,75.18,88,40,10.36,MR,Sun Aug  4 21:33:31 2024
107,letlhakeng,-24.0944,25.0298,52.86,33,3,12.19,BW,Sun Aug  4 21:33:32 2024
108,strezhevoy,60.7333,77.5889,64.45,88,100,2.48,RU,Sun Aug  4 21:33:34 2024
109,port douglas,-16.4833,145.4667,72.88,71,87,11.54,AU,Sun Aug  4 21:33:35 2024
110,ancud,-41.8697,-73.8203,46.67,90,100,19.35,CL,Sun Aug  4 21:33:37 2024
111,lamu,-2.2717,40.902,74.12,73,12,13.02,KE,Sun Aug  4 21:33:38 2024
112,hammerfest,70.6634,23.6821,66.65,55,11,4.61,NO,Sun Aug  4 21:33:39 2024
113,wenling,28.3669,121.36,86.38,73,31,5.68,CN,Sun Aug  4 21:33:41 2024
114,isafjordur,66.0755,-23.124,46.27,89,100,20.96,IS,Sun Aug  4 21:33:42 2024
115,margaret river,-33.95,115.0667,61.29,80,83,15.57,AU,Sun Aug  4 21:33:44 2024
116,saint-pierre,-21.3393,55.4781,65.88,55,20,9.22,RE,Sun Aug  4 21:33:45 2024
117,nuuk,64.1835,-51.7216,43.41,87,20,1.14,GL,Sun Aug  4 21:33:47 2024
118,al mutayrifi,25.4788,49.5576,93.54,18,0,10.31,SA,Sun Aug  4 21:33:48 2024
119,anadyr,64.75,177.4833,43.3,100,100,20.13,RU,Sun Aug  4 21:33:49 2024
120,dhankuta,26.9833,87.3333,72.43,85,86,1.16,NP,Sun Aug  4 21:33:52 2024
121,la ronge,55.1001,-105.2842,68.25,42,100,4.61,CA,Sun Aug  4 21:33:53 2024
122,vilyuysk,63.7553,121.6247,70.5,34,62,11.18,RU,Sun Aug  4 21:33:55 2024
123,moree,-29.4667,149.85,61.65,72,100,16.58,AU,Sun Aug  4 21:33:56 2024
124,aasiaat,68.7098,-52.8699,34.54,92,4,5.06,GL,Sun Aug  4 21:33:57 2024
125,papatowai,-46.5619,169.4708,52.48,61,13,4.85,NZ,Sun Aug  4 21:33:59 2024
126,hermanus,-34.4187,19.2345,49.8,69,57,17.29,ZA,Sun Aug  4 21:34:00 2024
127,college,64.8569,-147.8028,76.06,50,75,6.91,US,Sun Aug  4 21:34:03 2024
128,mineiros,-17.5694,-52.5511,67.28,41,0,6.53,BR,Sun Aug  4 21:34:04 2024
129,labrador city,52.9463,-66.9114,57.18,70,75,11.99,CA,Sun Aug  4 21:30:11 2024
130,winslow,35.0242,-110.6974,91.58,25,75,18.41,US,Sun Aug  4 21:34:07 2024
131,tokar,18.4254,37.729,91.89,48,100,23.42,SD,Sun Aug  4 21:34:09 2024
132,robore,-18.3333,-59.75,79.72,39,77,2.17,BO,Sun Aug  4 21:34:10 2024
133,roma,43.2128,-75.4557,74.1,76,0,5.75,US,Sun Aug  4 21:33:20 2024
134,san patricio,28.017,-97.5169,86.9,64,3,10.16,US,Sun Aug  4 21:34:13 2024
135,tukrah,32.5341,20.5791,79.3,64,0,4.36,LY,Sun Aug  4 21:34:14 2024
136,honiara,-9.4333,159.95,78.12,93,100,2.77,SB,Sun Aug  4 21:34:16 2024
137,tsiombe,-25.3,45.4833,59.63,92,3,3.4,MG,Sun Aug  4 21:34:17 2024
138,celestun,20.8667,-90.4,81.0,81,2,6.33,MX,Sun Aug  4 21:34:18 2024
139,lagos,6.5833,3.75,79.12,88,24,4.45,NG,Sun Aug  4 21:31:55 2024
140,camalu,30.85,-116.0667,82.65,78,100,9.06,MX,Sun Aug  4 21:34:22 2024
141,roleystone,-32.1167,116.0667,57.7,65,0,7.45,AU,Sun Aug  4 21:34:23 2024
142,lovech,43.1333,24.7167,65.17,54,99,6.31,BG,Sun Aug  4 21:34:24 2024
143,el fasher,13.6279,25.3494,74.12,77,32,9.37,SD,Sun Aug  4 21:34:26 2024
144,sagaing,21.8787,95.9797,76.46,94,100,11.68,MM,Sun Aug  4 21:34:29 2024
145,petropavlovsk-kamchatsky,53.0452,158.6483,68.59,60,20,8.95,RU,Sun Aug  4 21:34:30 2024
146,thompson,55.7435,-97.8558,68.16,40,20,4.61,CA,Sun Aug  4 21:34:32 2024
147,prestea,5.4327,-2.1428,74.05,85,100,1.54,GH,Sun Aug  4 21:34:33 2024
148,naama,33.2667,-0.3167,83.53,17,51,4.45,DZ,Sun Aug  4 21:34:34 2024
149,kourou,5.1552,-52.6478,78.85,86,50,7.74,GF,Sun Aug  4 21:34:36 2024
150,al jumum,21.6169,39.6981,87.8,63,91,3.44,SA,Sun Aug  4 21:34:37 2024
151,mawu,34.4307,104.9176,64.38,83,66,5.44,CN,Sun Aug  4 21:34:39 2024
152,bestobe,52.4994,73.0975,65.5,65,100,9.42,KZ,Sun Aug  4 21:34:40 2024
153,tazovsky,67.4667,78.7,47.03,64,92,14.52,RU,Sun Aug  4 21:30:52 2024
154,whitehorse,60.7161,-135.0538,75.09,25,20,5.75,CA,Sun Aug  4 21:34:44 2024
155,rosso,16.4986,-15.8153,81.79,74,100,10.42,SN,Sun Aug  4 21:34:45 2024
156,east london,-33.0153,27.9116,56.55,49,6,20.78,ZA,Sun Aug  4 21:34:47 2024
157,codrington,-38.2667,141.9667,54.93,51,4,5.55,AU,Sun Aug  4 21:34:48 2024
158,polyarnyy,69.1989,33.4478,47.62,83,4,1.12,RU,Sun Aug  4 21:34:50 2024
159,axim,4.8699,-2.2405,75.16,83,100,6.15,GH,Sun Aug  4 21:34:51 2024
160,tanjung pandan,-2.75,107.65,85.41,61,25,8.97,ID,Sun Aug  4 21:34:52 2024
161,martapura,-3.4167,114.85,80.69,74,0,3.44,ID,Sun Aug  4 21:34:54 2024
162,itoman,26.1247,127.6694,92.08,73,20,17.27,JP,Sun Aug  4 21:34:55 2024
163,portland,45.5234,-122.6762,91.94,41,20,8.05,US,Sun Aug  4 21:34:57 2024
164,gretna,29.9147,-90.054,89.01,70,9,1.01,US,Sun Aug  4 21:34:58 2024
165,whiteville,34.3388,-78.7031,80.1,93,0,5.75,US,Sun Aug  4 21:34:59 2024
166,mramani,-12.3464,44.5286,73.29,67,40,9.01,KM,Sun Aug  4 21:35:01 2024
167,swakopmund,-22.6833,14.5333,48.97,82,4,12.59,NA,Sun Aug  4 21:35:02 2024
168,ulaangom,49.9811,92.0667,69.46,53,3,4.32,MN,Sun Aug  4 21:35:04 2024
169,afaahiti,-17.75,-149.2833,80.47,75,9,13.06,PF,Sun Aug  4 21:35:05 2024
170,swan hill,-35.3378,143.5544,57.43,52,100,6.26,AU,Sun Aug  4 21:35:07 2024
171,flying fish cove,-10.4217,105.6791,76.68,88,100,12.66,CX,Sun Aug  4 21:35:08 2024
172,birjand,32.8663,59.2211,72.07,20,0,9.22,IR,Sun Aug  4 21:35:10 2024
173,alice springs,-23.7,133.8833,54.95,76,40,8.05,AU,Sun Aug  4 21:35:11 2024
174,olonkinbyen,70.9221,-8.7187,42.6,99,100,7.94,SJ,Sun Aug  4 21:35:12 2024
175,luau,-10.7073,22.2247,61.81,33,2,2.95,AO,Sun Aug  4 21:35:14 2024
176,villamontes,-21.25,-63.5,64.44,51,29,2.04,BO,Sun Aug  4 21:35:15 2024
177,fisterra,42.9049,-9.2629,66.02,93,0,9.04,ES,Sun Aug  4 21:35:17 2024
178,gadzhiyevo,69.2551,33.3362,47.32,85,2,2.13,RU,Sun Aug  4 21:35:18 2024
179,hadibu,12.65,54.0333,77.56,84,100,22.24,YE,Sun Aug  4 21:35:19 2024
180,novyy urengoy,66.0833,76.6333,52.93,55,100,16.06,RU,Sun Aug  4 21:35:21 2024
181,santa luzia,-19.7697,-43.8514,70.88,62,0,5.75,BR,Sun Aug  4 21:35:22 2024
182,nema,57.5067,50.5011,62.22,81,90,4.29,RU,Sun Aug  4 21:35:24 2024
183,malango,-2.9627,119.9001,77.52,68,94,4.16,ID,Sun Aug  4 21:35:26 2024
